Company,Day,Current Price,Forward Return,Rate,Action,Action,True Action,Reward,Total Reward,Counter UP,Counter DOWN,ALL,UP,DOWN,UP R,DOWN R,CORRECT,WRONG,CORRECT R,WRONG R,TP,TN,FP,FN,ACC,SEN,SPE,BAC,CM
V,30,207.44000244140625,210.72999572753903,1.485997516106908,0,UP,UP,1.485997516106908,1.485997516106908,1,0,1,1,0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,1.0,1.0,0.0,0.5,"[[0, 0], [0, 1]]"
V,31,207.3999938964844,211.01199645996093,1.64156348590798,1,DW,UP,-1.64156348590798,-0.15556596980107207,0,1,2,1,1,0.5,0.5,1,1,0.5,0.5,1,0,0,1,0.5,0.5,0.0,0.25,"[[0, 0], [1, 1]]"
V,32,210.2899932861328,208.71199645996091,-0.8503908300690062,1,DW,DW,0.8503908300690062,0.6948248602679341,0,2,3,1,2,0.3333333333333333,0.6666666666666666,2,1,0.6666666666666666,0.3333333333333333,1,1,0,1,0.6666666666666666,0.5,1.0,0.75,"[[1, 0], [1, 1]]"
V,33,211.1999969482422,204.15199584960936,-3.43712178052732,1,DW,DW,3.43712178052732,4.131946640795254,0,3,4,1,3,0.25,0.75,3,1,0.75,0.25,1,2,0,1,0.75,0.5,1.0,0.75,"[[2, 0], [1, 1]]"
V,34,213.30999755859372,198.93199768066407,-6.840424753875033,0,UP,DW,-6.840424753875033,-2.708478113079779,1,0,5,2,3,0.4,0.6,3,2,0.6,0.4,1,2,1,1,0.6,0.5,0.6666666666666666,0.5833333333333333,"[[2, 1], [1, 1]]"
V,35,211.4499969482422,192.6439971923828,-8.993828341110179,1,DW,DW,8.993828341110179,6.2853502280304,0,1,6,2,4,0.3333333333333333,0.6666666666666666,4,2,0.6666666666666666,0.3333333333333333,1,3,1,1,0.6666666666666666,0.5,0.75,0.625,"[[3, 1], [1, 1]]"
V,36,208.80999755859372,187.23399658203124,-10.432839054082224,0,UP,DW,-10.432839054082224,-4.147488826051824,1,0,7,3,4,0.42857142857142855,0.5714285714285714,4,3,0.5714285714285714,0.42857142857142855,1,3,2,1,0.5714285714285714,0.5,0.6,0.55,"[[3, 2], [1, 1]]"
V,37,198.7899932861328,185.94199829101564,-6.563099466291609,1,DW,DW,6.563099466291609,2.415610640239785,0,1,8,3,5,0.375,0.625,5,3,0.625,0.375,1,4,2,1,0.625,0.5,0.6666666666666666,0.5833333333333333,"[[4, 2], [1, 1]]"
V,38,188.3999938964844,185.40799865722656,-1.6881079279130753,1,DW,DW,1.6881079279130753,4.1037185681528605,0,2,9,3,6,0.3333333333333333,0.6666666666666666,6,3,0.6666666666666666,0.3333333333333333,1,5,2,1,0.6666666666666666,0.5,0.7142857142857143,0.6071428571428572,"[[5, 2], [1, 1]]"
V,39,187.2100067138672,186.8239959716797,-0.30619129765722153,1,DW,DW,0.30619129765722153,4.409909865810082,0,3,10,3,7,0.3,0.7,7,3,0.7,0.3,1,6,2,1,0.7,0.5,0.75,0.625,"[[6, 2], [1, 1]]"
V,40,180.00999450683594,188.21399841308596,4.457526891062955,0,UP,UP,4.457526891062955,8.867436756873037,1,0,11,4,7,0.36363636363636365,0.6363636363636364,8,3,0.7272727272727273,0.2727272727272727,2,6,2,1,0.7272727272727273,0.6666666666666666,0.75,0.7083333333333333,"[[6, 2], [1, 2]]"
V,41,181.75999450683597,188.73399963378907,3.7369307535882657,0,UP,UP,3.7369307535882657,12.604367510461302,2,0,12,5,7,0.4166666666666667,0.5833333333333334,9,3,0.75,0.25,3,6,2,1,0.75,0.75,0.75,0.75,"[[6, 2], [1, 3]]"
V,42,192.3300018310547,184.49400024414064,-4.174248173614276,0,UP,DW,-4.174248173614276,8.430119336847024,3,0,13,6,7,0.46153846153846156,0.5384615384615384,9,4,0.6923076923076923,0.3076923076923077,3,6,3,1,0.6923076923076923,0.75,0.6666666666666666,0.7083333333333333,"[[6, 3], [1, 3]]"
V,43,185.72999572753903,183.86800231933597,-1.1025270290398401,1,DW,DW,1.1025270290398401,9.532646365886865,0,1,14,6,8,0.42857142857142855,0.5714285714285714,10,4,0.7142857142857143,0.2857142857142857,3,7,3,1,0.7142857142857143,0.75,0.7,0.725,"[[7, 3], [1, 3]]"
V,44,194.2899932861328,179.60000305175782,-7.660857862988802,1,DW,DW,7.660857862988802,17.193504228875668,0,2,15,6,9,0.4,0.6,11,4,0.7333333333333333,0.26666666666666666,3,8,3,1,0.7333333333333333,0.75,0.7272727272727273,0.7386363636363636,"[[8, 3], [1, 3]]"
V,45,186.9600067138672,174.2240020751953,-6.912154568524217,1,DW,DW,6.912154568524217,24.105658797399883,0,3,16,6,10,0.375,0.625,12,4,0.75,0.25,3,9,3,1,0.75,0.75,0.75,0.75,"[[9, 3], [1, 3]]"
V,46,184.3600006103516,172.51800231933595,-6.5233012865105735,1,DW,DW,6.5233012865105735,30.628960083910457,0,4,17,6,11,0.35294117647058826,0.6470588235294118,13,4,0.7647058823529411,0.23529411764705882,3,10,3,1,0.7647058823529411,0.75,0.7692307692307693,0.7596153846153846,"[[10, 3], [1, 3]]"
V,47,171.1300048828125,168.69400024414062,-1.523481896316206,1,DW,DW,1.523481896316206,32.15244198022666,0,5,18,6,12,0.3333333333333333,0.6666666666666666,14,4,0.7777777777777778,0.2222222222222222,3,11,3,1,0.7777777777777778,0.75,0.7857142857142857,0.7678571428571428,"[[11, 3], [1, 3]]"
V,48,182.6000061035156,163.7519989013672,-10.422018933265278,1,DW,DW,10.422018933265278,42.57446091349194,0,6,19,6,13,0.3157894736842105,0.6842105263157895,15,4,0.7894736842105263,0.21052631578947367,3,12,3,1,0.7894736842105263,0.75,0.8,0.775,"[[12, 3], [1, 3]]"
V,49,172.9499969482422,158.85799865722657,-8.248018814497494,1,DW,DW,8.248018814497494,50.82247972798943,0,7,20,6,14,0.3,0.7,16,4,0.8,0.2,3,13,3,1,0.8,0.75,0.8125,0.78125,"[[13, 3], [1, 3]]"
V,50,160.0800018310547,157.29199829101563,-1.841631376904569,0,UP,DW,-1.841631376904569,48.980848351084866,1,0,21,7,14,0.3333333333333333,0.6666666666666666,16,5,0.7619047619047619,0.23809523809523808,3,13,4,1,0.7619047619047619,0.75,0.7647058823529411,0.7573529411764706,"[[13, 4], [1, 3]]"
V,51,175.8300018310547,151.49199829101562,-13.941780860256209,1,DW,DW,13.941780860256209,62.922629211341075,0,1,22,7,15,0.3181818181818182,0.6818181818181818,17,5,0.7727272727272727,0.22727272727272727,3,14,4,1,0.7727272727272727,0.75,0.7777777777777778,0.7638888888888888,"[[14, 4], [1, 3]]"
V,52,152.00999450683594,148.23800048828124,-2.5814118511036885,0,UP,DW,-2.5814118511036885,60.34121736023739,1,0,23,8,15,0.34782608695652173,0.6521739130434783,17,6,0.7391304347826086,0.2608695652173913,3,14,5,1,0.7391304347826086,0.75,0.7368421052631579,0.743421052631579,"[[14, 5], [1, 3]]"
V,53,157.88999938964844,147.56600036621094,-6.638728901986654,1,DW,DW,6.638728901986654,66.97994626222405,0,1,24,8,16,0.3333333333333333,0.6666666666666666,18,6,0.75,0.25,3,15,5,1,0.75,0.75,0.75,0.75,"[[15, 5], [1, 3]]"
V,54,148.47999572753906,150.2260009765625,1.075919517284569,0,UP,UP,1.075919517284569,68.05586577950862,1,0,25,9,16,0.36,0.64,19,6,0.76,0.24,4,15,5,1,0.76,0.8,0.75,0.775,"[[15, 5], [1, 4]]"
V,55,152.25,153.552001953125,0.755173696633826,0,UP,UP,0.755173696633826,68.81103947614245,2,0,26,10,16,0.38461538461538464,0.6153846153846154,20,6,0.7692307692307693,0.23076923076923078,5,15,5,1,0.7692307692307693,0.8333333333333334,0.75,0.7916666666666667,"[[15, 5], [1, 5]]"
V,56,146.8300018310547,156.4980010986328,6.4844848784394244,0,UP,UP,6.4844848784394244,75.29552435458189,3,0,27,11,16,0.4074074074074074,0.5925925925925926,21,6,0.7777777777777778,0.2222222222222222,6,15,5,1,0.7777777777777778,0.8571428571428571,0.75,0.8035714285714286,"[[15, 5], [1, 6]]"
V,57,135.74000549316406,162.46400146484376,19.587634367324036,0,UP,UP,19.587634367324036,94.88315872190591,4,0,28,12,16,0.42857142857142855,0.5714285714285714,22,6,0.7857142857142857,0.21428571428571427,7,15,5,1,0.7857142857142857,0.875,0.75,0.8125,"[[15, 5], [1, 7]]"
V,58,154.52999877929688,163.78200073242186,5.887188265198203,0,UP,UP,5.887188265198203,100.77034698710412,5,0,29,13,16,0.4482758620689655,0.5517241379310345,23,6,0.7931034482758621,0.20689655172413793,8,15,5,1,0.7931034482758621,0.8888888888888888,0.75,0.8194444444444444,"[[15, 5], [1, 8]]"
V,59,161.77999877929688,162.04800109863282,0.0656585000359422,0,UP,UP,0.0656585000359422,100.83600548714006,6,0,30,14,16,0.4666666666666667,0.5333333333333333,24,6,0.8,0.2,9,15,5,1,0.8,0.9,0.75,0.825,"[[15, 5], [1, 9]]"
