Company,Day,Current Price,Forward Return,Rate,Action,Action,True Action,Reward,Total Reward,Counter UP,Counter DOWN,ALL,UP,DOWN,UP R,DOWN R,CORRECT,WRONG,CORRECT R,WRONG R,TP,TN,FP,FN,ACC,SEN,SPE,BAC,CM
V,30,207.44000244140625,210.72999572753903,1.485997516106908,0,UP,UP,1.485997516106908,1.485997516106908,1,0,1,1,0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,1.0,1.0,0.0,0.5,"[[0, 0], [0, 1]]"
V,31,207.3999938964844,211.01199645996093,1.64156348590798,0,UP,UP,1.64156348590798,3.127561002014888,2,0,2,2,0,1.0,0.0,2,0,1.0,0.0,2,0,0,0,1.0,1.0,0.0,0.5,"[[0, 0], [0, 2]]"
V,32,210.2899932861328,208.71199645996091,-0.8503908300690062,0,UP,DW,-0.8503908300690062,2.2771701719458814,3,0,3,3,0,1.0,0.0,2,1,0.6666666666666666,0.3333333333333333,2,0,1,0,0.6666666666666666,1.0,0.0,0.5,"[[0, 1], [0, 2]]"
V,33,211.1999969482422,204.15199584960936,-3.43712178052732,1,DW,DW,3.43712178052732,5.714291952473202,0,1,4,3,1,0.75,0.25,3,1,0.75,0.25,2,1,1,0,0.75,1.0,0.5,0.75,"[[1, 1], [0, 2]]"
V,34,213.30999755859372,198.93199768066407,-6.840424753875033,0,UP,DW,-6.840424753875033,-1.1261328014018313,1,0,5,4,1,0.8,0.2,3,2,0.6,0.4,2,1,2,0,0.6,1.0,0.3333333333333333,0.6666666666666666,"[[1, 2], [0, 2]]"
V,35,211.4499969482422,192.6439971923828,-8.993828341110179,0,UP,DW,-8.993828341110179,-10.119961142512011,2,0,6,5,1,0.8333333333333334,0.16666666666666666,3,3,0.5,0.5,2,1,3,0,0.5,1.0,0.25,0.625,"[[1, 3], [0, 2]]"
V,36,208.80999755859372,187.23399658203124,-10.432839054082224,0,UP,DW,-10.432839054082224,-20.552800196594234,3,0,7,6,1,0.8571428571428571,0.14285714285714285,3,4,0.42857142857142855,0.5714285714285714,2,1,4,0,0.42857142857142855,1.0,0.2,0.6,"[[1, 4], [0, 2]]"
V,37,198.7899932861328,185.94199829101564,-6.563099466291609,0,UP,DW,-6.563099466291609,-27.115899662885845,4,0,8,7,1,0.875,0.125,3,5,0.375,0.625,2,1,5,0,0.375,1.0,0.16666666666666666,0.5833333333333334,"[[1, 5], [0, 2]]"
V,38,188.3999938964844,185.40799865722656,-1.6881079279130753,0,UP,DW,-1.6881079279130753,-28.80400759079892,5,0,9,8,1,0.8888888888888888,0.1111111111111111,3,6,0.3333333333333333,0.6666666666666666,2,1,6,0,0.3333333333333333,1.0,0.14285714285714285,0.5714285714285714,"[[1, 6], [0, 2]]"
V,39,187.2100067138672,186.8239959716797,-0.30619129765722153,0,UP,DW,-0.30619129765722153,-29.110198888456143,6,0,10,9,1,0.9,0.1,3,7,0.3,0.7,2,1,7,0,0.3,1.0,0.125,0.5625,"[[1, 7], [0, 2]]"
V,40,180.00999450683594,188.21399841308596,4.457526891062955,0,UP,UP,4.457526891062955,-24.65267199739319,7,0,11,10,1,0.9090909090909091,0.09090909090909091,4,7,0.36363636363636365,0.6363636363636364,3,1,7,0,0.36363636363636365,1.0,0.125,0.5625,"[[1, 7], [0, 3]]"
V,41,181.75999450683597,188.73399963378907,3.7369307535882657,0,UP,UP,3.7369307535882657,-20.915741243804923,8,0,12,11,1,0.9166666666666666,0.08333333333333333,5,7,0.4166666666666667,0.5833333333333334,4,1,7,0,0.4166666666666667,1.0,0.125,0.5625,"[[1, 7], [0, 4]]"
V,42,192.3300018310547,184.49400024414064,-4.174248173614276,0,UP,DW,-4.174248173614276,-25.0899894174192,9,0,13,12,1,0.9230769230769231,0.07692307692307693,5,8,0.38461538461538464,0.6153846153846154,4,1,8,0,0.38461538461538464,1.0,0.1111111111111111,0.5555555555555556,"[[1, 8], [0, 4]]"
