Company,Day,Current Price,Forward Return,Rate,Action,Action,True Action,Reward,Total Reward,Counter UP,Counter DOWN,ALL,UP,DOWN,UP R,DOWN R,CORRECT,WRONG,CORRECT R,WRONG R,TP,TN,FP,FN,ACC,SEN,SPE,BAC,CM
V,30,207.44000244140625,210.72999572753903,1.485997516106908,1,DW,UP,-1.485997516106908,-1.485997516106908,0,1,1,0,1,0.0,1.0,0,1,0.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,"[[0, 0], [1, 0]]"
V,31,207.3999938964844,211.01199645996093,1.64156348590798,0,UP,UP,1.64156348590798,0.15556596980107207,1,0,2,1,1,0.5,0.5,1,1,0.5,0.5,1,0,0,1,0.5,0.5,0.0,0.25,"[[0, 0], [1, 1]]"
V,32,210.2899932861328,208.71199645996091,-0.8503908300690062,1,DW,DW,0.8503908300690062,1.0059567998700782,0,1,3,1,2,0.3333333333333333,0.6666666666666666,2,1,0.6666666666666666,0.3333333333333333,1,1,0,1,0.6666666666666666,0.5,1.0,0.75,"[[1, 0], [1, 1]]"
V,33,211.1999969482422,204.15199584960936,-3.43712178052732,0,UP,DW,-3.43712178052732,-2.4311649806572415,1,0,4,2,2,0.5,0.5,2,2,0.5,0.5,1,1,1,1,0.5,0.5,0.5,0.5,"[[1, 1], [1, 1]]"
V,34,213.30999755859372,198.93199768066407,-6.840424753875033,0,UP,DW,-6.840424753875033,-9.271589734532274,2,0,5,3,2,0.6,0.4,2,3,0.4,0.6,1,1,2,1,0.4,0.5,0.3333333333333333,0.41666666666666663,"[[1, 2], [1, 1]]"
V,35,211.4499969482422,192.6439971923828,-8.993828341110179,0,UP,DW,-8.993828341110179,-18.26541807564245,3,0,6,4,2,0.6666666666666666,0.3333333333333333,2,4,0.3333333333333333,0.6666666666666666,1,1,3,1,0.3333333333333333,0.5,0.25,0.375,"[[1, 3], [1, 1]]"
V,36,208.80999755859372,187.23399658203124,-10.432839054082224,0,UP,DW,-10.432839054082224,-28.698257129724674,4,0,7,5,2,0.7142857142857143,0.2857142857142857,2,5,0.2857142857142857,0.7142857142857143,1,1,4,1,0.2857142857142857,0.5,0.2,0.35,"[[1, 4], [1, 1]]"
V,37,198.7899932861328,185.94199829101564,-6.563099466291609,1,DW,DW,6.563099466291609,-22.135157663433063,0,1,8,5,3,0.625,0.375,3,5,0.375,0.625,1,2,4,1,0.375,0.5,0.3333333333333333,0.41666666666666663,"[[2, 4], [1, 1]]"
V,38,188.3999938964844,185.40799865722656,-1.6881079279130753,0,UP,DW,-1.6881079279130753,-23.82326559134614,1,0,9,6,3,0.6666666666666666,0.3333333333333333,3,6,0.3333333333333333,0.6666666666666666,1,2,5,1,0.3333333333333333,0.5,0.2857142857142857,0.39285714285714285,"[[2, 5], [1, 1]]"
V,39,187.2100067138672,186.8239959716797,-0.30619129765722153,1,DW,DW,0.30619129765722153,-23.517074293688918,0,1,10,6,4,0.6,0.4,4,6,0.4,0.6,1,3,5,1,0.4,0.5,0.375,0.4375,"[[3, 5], [1, 1]]"
V,40,180.00999450683594,188.21399841308596,4.457526891062955,0,UP,UP,4.457526891062955,-19.059547402625963,1,0,11,7,4,0.6363636363636364,0.36363636363636365,5,6,0.45454545454545453,0.5454545454545454,2,3,5,1,0.45454545454545453,0.6666666666666666,0.375,0.5208333333333333,"[[3, 5], [1, 2]]"
V,41,181.75999450683597,188.73399963378907,3.7369307535882657,0,UP,UP,3.7369307535882657,-15.322616649037698,2,0,12,8,4,0.6666666666666666,0.3333333333333333,6,6,0.5,0.5,3,3,5,1,0.5,0.75,0.375,0.5625,"[[3, 5], [1, 3]]"
