Company,Day,Current Price,Forward Return,Rate,Action,Action,True Action,Reward,Total Reward,Counter UP,Counter DOWN,ALL,UP,DOWN,UP R,DOWN R,CORRECT,WRONG,CORRECT R,WRONG R,TP,TN,FP,FN,ACC,SEN,SPE,BAC,CM
V,30,207.44000244140625,210.72999572753903,1.485997516106908,0,UP,UP,1.485997516106908,1.485997516106908,1,0,1,1,0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,1.0,1.0,0.0,0.5,"[[0, 0], [0, 1]]"
V,31,207.3999938964844,211.01199645996093,1.64156348590798,1,DW,UP,-1.64156348590798,-0.15556596980107207,0,1,2,1,1,0.5,0.5,1,1,0.5,0.5,1,0,0,1,0.5,0.5,0.0,0.25,"[[0, 0], [1, 1]]"
V,32,210.2899932861328,208.71199645996091,-0.8503908300690062,0,UP,DW,-0.8503908300690062,-1.0059567998700782,1,0,3,2,1,0.6666666666666666,0.3333333333333333,1,2,0.3333333333333333,0.6666666666666666,1,0,1,1,0.3333333333333333,0.5,0.0,0.25,"[[0, 1], [1, 1]]"
V,33,211.1999969482422,204.15199584960936,-3.43712178052732,0,UP,DW,-3.43712178052732,-4.4430785803973984,2,0,4,3,1,0.75,0.25,1,3,0.25,0.75,1,0,2,1,0.25,0.5,0.0,0.25,"[[0, 2], [1, 1]]"
V,34,213.30999755859372,198.93199768066407,-6.840424753875033,0,UP,DW,-6.840424753875033,-11.283503334272432,3,0,5,4,1,0.8,0.2,1,4,0.2,0.8,1,0,3,1,0.2,0.5,0.0,0.25,"[[0, 3], [1, 1]]"
V,35,211.4499969482422,192.6439971923828,-8.993828341110179,1,DW,DW,8.993828341110179,-2.2896749931622526,0,1,6,4,2,0.6666666666666666,0.3333333333333333,2,4,0.3333333333333333,0.6666666666666666,1,1,3,1,0.3333333333333333,0.5,0.25,0.375,"[[1, 3], [1, 1]]"
V,36,208.80999755859372,187.23399658203124,-10.432839054082224,0,UP,DW,-10.432839054082224,-12.722514047244477,1,0,7,5,2,0.7142857142857143,0.2857142857142857,2,5,0.2857142857142857,0.7142857142857143,1,1,4,1,0.2857142857142857,0.5,0.2,0.35,"[[1, 4], [1, 1]]"
V,37,198.7899932861328,185.94199829101564,-6.563099466291609,1,DW,DW,6.563099466291609,-6.159414580952868,0,1,8,5,3,0.625,0.375,3,5,0.375,0.625,1,2,4,1,0.375,0.5,0.3333333333333333,0.41666666666666663,"[[2, 4], [1, 1]]"
V,38,188.3999938964844,185.40799865722656,-1.6881079279130753,0,UP,DW,-1.6881079279130753,-7.847522508865943,1,0,9,6,3,0.6666666666666666,0.3333333333333333,3,6,0.3333333333333333,0.6666666666666666,1,2,5,1,0.3333333333333333,0.5,0.2857142857142857,0.39285714285714285,"[[2, 5], [1, 1]]"
V,39,187.2100067138672,186.8239959716797,-0.30619129765722153,0,UP,DW,-0.30619129765722153,-8.153713806523164,2,0,10,7,3,0.7,0.3,3,7,0.3,0.7,1,2,6,1,0.3,0.5,0.25,0.375,"[[2, 6], [1, 1]]"
V,40,180.00999450683594,188.21399841308596,4.457526891062955,0,UP,UP,4.457526891062955,-3.69618691546021,3,0,11,8,3,0.7272727272727273,0.2727272727272727,4,7,0.36363636363636365,0.6363636363636364,2,2,6,1,0.36363636363636365,0.6666666666666666,0.25,0.4583333333333333,"[[2, 6], [1, 2]]"
V,41,181.75999450683597,188.73399963378907,3.7369307535882657,0,UP,UP,3.7369307535882657,0.04074383812805582,4,0,12,9,3,0.75,0.25,5,7,0.4166666666666667,0.5833333333333334,3,2,6,1,0.4166666666666667,0.75,0.25,0.5,"[[2, 6], [1, 3]]"
V,42,192.3300018310547,184.49400024414064,-4.174248173614276,1,DW,DW,4.174248173614276,4.214992011742332,0,1,13,9,4,0.6923076923076923,0.3076923076923077,6,7,0.46153846153846156,0.5384615384615384,3,3,6,1,0.46153846153846156,0.75,0.3333333333333333,0.5416666666666666,"[[3, 6], [1, 3]]"
V,43,185.72999572753903,183.86800231933597,-1.1025270290398401,1,DW,DW,1.1025270290398401,5.317519040782172,0,2,14,9,5,0.6428571428571429,0.35714285714285715,7,7,0.5,0.5,3,4,6,1,0.5,0.75,0.4,0.575,"[[4, 6], [1, 3]]"
V,44,194.2899932861328,179.60000305175782,-7.660857862988802,1,DW,DW,7.660857862988802,12.978376903770975,0,3,15,9,6,0.6,0.4,8,7,0.5333333333333333,0.4666666666666667,3,5,6,1,0.5333333333333333,0.75,0.45454545454545453,0.6022727272727273,"[[5, 6], [1, 3]]"
V,45,186.9600067138672,174.2240020751953,-6.912154568524217,1,DW,DW,6.912154568524217,19.890531472295194,0,4,16,9,7,0.5625,0.4375,9,7,0.5625,0.4375,3,6,6,1,0.5625,0.75,0.5,0.625,"[[6, 6], [1, 3]]"
V,46,184.3600006103516,172.51800231933595,-6.5233012865105735,1,DW,DW,6.5233012865105735,26.413832758805768,0,5,17,9,8,0.5294117647058824,0.47058823529411764,10,7,0.5882352941176471,0.4117647058823529,3,7,6,1,0.5882352941176471,0.75,0.5384615384615384,0.6442307692307692,"[[7, 6], [1, 3]]"
V,47,171.1300048828125,168.69400024414062,-1.523481896316206,1,DW,DW,1.523481896316206,27.937314655121973,0,6,18,9,9,0.5,0.5,11,7,0.6111111111111112,0.3888888888888889,3,8,6,1,0.6111111111111112,0.75,0.5714285714285714,0.6607142857142857,"[[8, 6], [1, 3]]"
V,48,182.6000061035156,163.7519989013672,-10.422018933265278,0,UP,DW,-10.422018933265278,17.515295721856695,1,0,19,10,9,0.5263157894736842,0.47368421052631576,11,8,0.5789473684210527,0.42105263157894735,3,8,7,1,0.5789473684210527,0.75,0.5333333333333333,0.6416666666666666,"[[8, 7], [1, 3]]"
V,49,172.9499969482422,158.85799865722657,-8.248018814497494,1,DW,DW,8.248018814497494,25.763314536354187,0,1,20,10,10,0.5,0.5,12,8,0.6,0.4,3,9,7,1,0.6,0.75,0.5625,0.65625,"[[9, 7], [1, 3]]"
V,50,160.0800018310547,157.29199829101563,-1.841631376904569,0,UP,DW,-1.841631376904569,23.921683159449618,1,0,21,11,10,0.5238095238095238,0.47619047619047616,12,9,0.5714285714285714,0.42857142857142855,3,9,8,1,0.5714285714285714,0.75,0.5294117647058824,0.6397058823529411,"[[9, 8], [1, 3]]"
V,51,175.8300018310547,151.49199829101562,-13.941780860256209,1,DW,DW,13.941780860256209,37.86346401970583,0,1,22,11,11,0.5,0.5,13,9,0.5909090909090909,0.4090909090909091,3,10,8,1,0.5909090909090909,0.75,0.5555555555555556,0.6527777777777778,"[[10, 8], [1, 3]]"
V,52,152.00999450683594,148.23800048828124,-2.5814118511036885,0,UP,DW,-2.5814118511036885,35.28205216860214,1,0,23,12,11,0.5217391304347826,0.4782608695652174,13,10,0.5652173913043478,0.43478260869565216,3,10,9,1,0.5652173913043478,0.75,0.5263157894736842,0.638157894736842,"[[10, 9], [1, 3]]"
V,53,157.88999938964844,147.56600036621094,-6.638728901986654,1,DW,DW,6.638728901986654,41.920781070588795,0,1,24,12,12,0.5,0.5,14,10,0.5833333333333334,0.4166666666666667,3,11,9,1,0.5833333333333334,0.75,0.55,0.65,"[[11, 9], [1, 3]]"
V,54,148.47999572753906,150.2260009765625,1.075919517284569,0,UP,UP,1.075919517284569,42.99670058787336,1,0,25,13,12,0.52,0.48,15,10,0.6,0.4,4,11,9,1,0.6,0.8,0.55,0.675,"[[11, 9], [1, 4]]"
V,55,152.25,153.552001953125,0.755173696633826,0,UP,UP,0.755173696633826,43.75187428450719,2,0,26,14,12,0.5384615384615384,0.46153846153846156,16,10,0.6153846153846154,0.38461538461538464,5,11,9,1,0.6153846153846154,0.8333333333333334,0.55,0.6916666666666667,"[[11, 9], [1, 5]]"
V,56,146.8300018310547,156.4980010986328,6.4844848784394244,0,UP,UP,6.4844848784394244,50.23635916294661,3,0,27,15,12,0.5555555555555556,0.4444444444444444,17,10,0.6296296296296297,0.37037037037037035,6,11,9,1,0.6296296296296297,0.8571428571428571,0.55,0.7035714285714285,"[[11, 9], [1, 6]]"
V,57,135.74000549316406,162.46400146484376,19.587634367324036,0,UP,UP,19.587634367324036,69.82399353027066,4,0,28,16,12,0.5714285714285714,0.42857142857142855,18,10,0.6428571428571429,0.35714285714285715,7,11,9,1,0.6428571428571429,0.875,0.55,0.7125,"[[11, 9], [1, 7]]"
V,58,154.52999877929688,163.78200073242186,5.887188265198203,0,UP,UP,5.887188265198203,75.71118179546886,5,0,29,17,12,0.5862068965517241,0.41379310344827586,19,10,0.6551724137931034,0.3448275862068966,8,11,9,1,0.6551724137931034,0.8888888888888888,0.55,0.7194444444444444,"[[11, 9], [1, 8]]"
V,59,161.77999877929688,162.04800109863282,0.0656585000359422,0,UP,UP,0.0656585000359422,75.7768402955048,6,0,30,18,12,0.6,0.4,20,10,0.6666666666666666,0.3333333333333333,9,11,9,1,0.6666666666666666,0.9,0.55,0.7250000000000001,"[[11, 9], [1, 9]]"
