Company,Day,Current Price,Forward Return,Rate,Action,Action,True Action,Reward,Total Reward,Counter UP,Counter DOWN,ALL,UP,DOWN,UP R,DOWN R,CORRECT,WRONG,CORRECT R,WRONG R,TP,TN,FP,FN,ACC,SEN,SPE,BAC,CM
MSFT,30,184.7100067138672,185.5980010986328,0.3807505562712714,1,DW,UP,-0.3807505562712714,-0.3807505562712714,0,1,1,0,1,0.0,1.0,0,1,0.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,"[[0, 0], [1, 0]]"
MSFT,31,183.7100067138672,184.5739990234375,0.3703022579036731,1,DW,UP,-0.3703022579036731,-0.7510528141749445,0,2,2,0,2,0.0,1.0,0,2,0.0,1.0,0,0,0,2,0.0,0.0,0.0,0.0,"[[0, 0], [2, 0]]"
MSFT,32,185.3500061035156,181.68199768066407,-2.078963205862006,1,DW,DW,2.078963205862006,1.3279103916870616,0,3,3,0,3,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,0,1,0,2,0.3333333333333333,0.0,1.0,0.5,"[[1, 0], [2, 0]]"
MSFT,33,187.22999572753903,177.85,-5.109878727545895,1,DW,DW,5.109878727545895,6.437789119232956,0,4,4,0,4,0.0,1.0,2,2,0.5,0.5,0,2,0,2,0.5,0.0,1.0,0.5,"[[2, 0], [2, 0]]"
MSFT,34,187.27999877929688,174.4279998779297,-6.962451401717931,1,DW,DW,6.962451401717931,13.400240520950888,0,5,5,0,5,0.0,1.0,3,2,0.6,0.4,0,3,0,2,0.6,0.0,1.0,0.5,"[[3, 0], [2, 0]]"
MSFT,35,184.4199981689453,169.17999877929688,-8.36374554872689,1,DW,DW,8.36374554872689,21.763986069677777,0,6,6,0,6,0.0,1.0,4,2,0.6666666666666666,0.3333333333333333,0,4,0,2,0.6666666666666666,0.0,1.0,0.5,"[[4, 0], [2, 0]]"
MSFT,36,178.58999633789062,165.86399841308594,-7.2258178989640705,1,DW,DW,7.2258178989640705,28.989803968641848,0,7,7,0,7,0.0,1.0,5,2,0.7142857142857143,0.2857142857142857,0,5,0,2,0.7142857142857143,0.0,1.0,0.5,"[[5, 0], [2, 0]]"
MSFT,37,170.88999938964844,166.2439971923828,-2.818709236268544,1,DW,DW,2.818709236268544,31.80851320491039,0,8,8,0,8,0.0,1.0,6,2,0.75,0.25,0,6,0,2,0.75,0.0,1.0,0.5,"[[6, 0], [2, 0]]"
MSFT,38,168.07000732421875,165.53199462890626,-1.6100925713750256,1,DW,DW,1.6100925713750256,33.41860577628542,0,9,9,0,9,0.0,1.0,7,2,0.7777777777777778,0.2222222222222222,0,7,0,2,0.7777777777777778,0.0,1.0,0.5,"[[7, 0], [2, 0]]"
MSFT,39,170.1699981689453,165.60799560546874,-2.780850098468825,1,DW,DW,2.780850098468825,36.19945587475424,0,10,10,0,10,0.0,1.0,8,2,0.8,0.2,0,8,0,2,0.8,0.0,1.0,0.5,"[[8, 0], [2, 0]]"
MSFT,40,158.17999267578125,167.2259979248047,5.6188049487174245,0,UP,UP,5.6188049487174245,41.81826082347167,1,0,11,1,10,0.09090909090909091,0.9090909090909091,9,2,0.8181818181818182,0.18181818181818182,1,8,0,2,0.8181818181818182,0.3333333333333333,1.0,0.6666666666666666,"[[8, 0], [2, 1]]"
MSFT,41,162.00999450683594,167.13800048828125,3.0652405131270704,1,DW,UP,-3.0652405131270704,38.753020310344596,0,1,12,1,11,0.08333333333333333,0.9166666666666666,9,3,0.75,0.25,1,8,0,3,0.75,0.25,1.0,0.625,"[[8, 0], [3, 1]]"
MSFT,42,172.7899932861328,162.7040008544922,-5.937139199918047,1,DW,DW,5.937139199918047,44.690159510262646,0,2,13,1,12,0.07692307692307693,0.9230769230769231,10,3,0.7692307692307693,0.23076923076923078,1,9,0,3,0.7692307692307693,0.25,1.0,0.625,"[[9, 0], [3, 1]]"
MSFT,43,164.50999450683594,161.98600158691406,-1.6342489843782715,1,DW,DW,1.6342489843782715,46.32440849464092,0,3,14,1,13,0.07142857142857142,0.9285714285714286,11,3,0.7857142857142857,0.21428571428571427,1,10,0,3,0.7857142857142857,0.25,1.0,0.625,"[[10, 0], [3, 1]]"
MSFT,44,170.5500030517578,158.602001953125,-7.105570732828935,1,DW,DW,7.105570732828935,53.42997922746986,0,4,15,1,14,0.06666666666666667,0.9333333333333333,12,3,0.8,0.2,1,11,0,3,0.8,0.25,1.0,0.625,"[[11, 0], [3, 1]]"
MSFT,45,166.27000427246094,153.16000061035157,-7.984767742368281,1,DW,DW,7.984767742368281,61.41474696983814,0,5,16,1,15,0.0625,0.9375,13,3,0.8125,0.1875,1,12,0,3,0.8125,0.25,1.0,0.625,"[[12, 0], [3, 1]]"
MSFT,46,161.57000732421875,152.61199951171875,-5.644350687887371,1,DW,DW,5.644350687887371,67.05909765772552,0,6,17,1,16,0.058823529411764705,0.9411764705882353,14,3,0.8235294117647058,0.17647058823529413,1,13,0,3,0.8235294117647058,0.25,1.0,0.625,"[[13, 0], [3, 1]]"
MSFT,47,150.6199951171875,149.5720001220703,-0.7957874313445683,1,DW,DW,0.7957874313445683,67.85488508907008,0,7,18,1,17,0.05555555555555555,0.9444444444444444,15,3,0.8333333333333334,0.16666666666666666,1,14,0,3,0.8333333333333334,0.25,1.0,0.625,"[[14, 0], [3, 1]]"
MSFT,48,160.9199981689453,146.702001953125,-8.935443933384363,1,DW,DW,8.935443933384363,76.79032902245444,0,8,19,1,18,0.05263157894736842,0.9473684210526315,16,3,0.8421052631578947,0.15789473684210525,1,15,0,3,0.8421052631578947,0.25,1.0,0.625,"[[15, 0], [3, 1]]"
MSFT,49,153.6300048828125,144.05599975585938,-6.331858896480595,1,DW,DW,6.331858896480595,83.12218791893504,0,9,20,1,19,0.05,0.95,17,3,0.85,0.15,1,16,0,3,0.85,0.25,1.0,0.625,"[[16, 0], [3, 1]]"
MSFT,50,139.05999755859375,144.78600158691407,4.017650027936778,0,UP,UP,4.017650027936778,87.13983794687182,1,0,21,2,19,0.09523809523809523,0.9047619047619048,18,3,0.8571428571428571,0.14285714285714285,2,16,0,3,0.8571428571428571,0.4,1.0,0.7,"[[16, 0], [3, 2]]"
MSFT,51,158.8300018310547,140.49000244140626,-11.646936459244289,1,DW,DW,11.646936459244289,98.78677440611611,0,1,22,2,20,0.09090909090909091,0.9090909090909091,19,3,0.8636363636363636,0.13636363636363635,2,17,0,3,0.8636363636363636,0.4,1.0,0.7,"[[17, 0], [3, 2]]"
MSFT,52,135.4199981689453,140.602001953125,3.7266163448878578,0,UP,UP,3.7266163448878578,102.51339075100397,1,0,23,3,20,0.13043478260869565,0.8695652173913043,20,3,0.8695652173913043,0.13043478260869565,3,17,0,3,0.8695652173913043,0.5,1.0,0.75,"[[17, 0], [3, 3]]"
MSFT,53,146.57000732421875,140.95599975585938,-3.930256729087117,1,DW,DW,3.930256729087117,106.44364748009109,0,1,24,3,21,0.125,0.875,21,3,0.875,0.125,3,18,0,3,0.875,0.5,1.0,0.75,"[[18, 0], [3, 3]]"
MSFT,54,140.39999389648438,142.26000061035157,1.2247911643347784,0,UP,UP,1.2247911643347784,107.66843864442586,1,0,25,4,21,0.16,0.84,22,3,0.88,0.12,4,18,0,3,0.88,0.5714285714285714,1.0,0.7857142857142857,"[[18, 0], [3, 4]]"
MSFT,55,142.7100067138672,144.93999938964845,1.4626042820195397,0,UP,UP,1.4626042820195397,109.1310429264454,2,0,26,5,21,0.19230769230769232,0.8076923076923077,23,3,0.8846153846153846,0.11538461538461539,5,18,0,3,0.8846153846153846,0.625,1.0,0.8125,"[[18, 0], [3, 5]]"
MSFT,56,137.35000610351562,147.40999755859374,7.224347293800829,0,UP,UP,7.224347293800829,116.35539022024624,3,0,27,6,21,0.2222222222222222,0.7777777777777778,24,3,0.8888888888888888,0.1111111111111111,6,18,0,3,0.8888888888888888,0.6666666666666666,1.0,0.8333333333333333,"[[18, 0], [3, 6]]"
MSFT,57,135.97999572753906,152.25999755859374,11.872350597564848,0,UP,UP,11.872350597564848,128.22774081781108,4,0,28,7,21,0.25,0.75,25,3,0.8928571428571429,0.10714285714285714,7,18,0,3,0.8928571428571429,0.7,1.0,0.85,"[[18, 0], [3, 7]]"
MSFT,58,148.33999633789062,154.13399963378907,3.805894188308323,0,UP,UP,3.805894188308323,132.0336350061194,5,0,29,8,21,0.27586206896551724,0.7241379310344828,26,3,0.896551724137931,0.10344827586206896,8,18,0,3,0.896551724137931,0.7272727272727273,1.0,0.8636363636363636,"[[18, 0], [3, 8]]"
MSFT,59,146.9199981689453,155.1720001220703,5.5166635284298735,0,UP,UP,5.5166635284298735,137.55029853454926,6,0,30,9,21,0.3,0.7,27,3,0.9,0.1,9,18,0,3,0.9,0.75,1.0,0.875,"[[18, 0], [3, 9]]"
MSFT,60,156.11000061035156,155.0019989013672,-0.8097570332793299,1,DW,DW,0.8097570332793299,138.3600555678286,0,1,31,9,22,0.2903225806451613,0.7096774193548387,28,3,0.9032258064516129,0.0967741935483871,9,19,0,3,0.9032258064516129,0.75,1.0,0.875,"[[19, 0], [3, 9]]"
MSFT,61,149.6999969482422,155.8279998779297,3.9935224145704082,0,UP,UP,3.9935224145704082,142.353577982399,1,0,32,10,22,0.3125,0.6875,29,3,0.90625,0.09375,10,19,0,3,0.90625,0.7692307692307693,1.0,0.8846153846153846,"[[19, 0], [3, 10]]"
MSFT,62,160.22999572753906,156.83600158691405,-2.218201479825465,1,DW,DW,2.218201479825465,144.57177946222447,0,1,33,10,23,0.30303030303030304,0.696969696969697,30,3,0.9090909090909091,0.09090909090909091,10,20,0,3,0.9090909090909091,0.7692307692307693,1.0,0.8846153846153846,"[[20, 0], [3, 10]]"
MSFT,63,157.7100067138672,157.99200134277345,0.078805793482644,0,UP,UP,0.078805793482644,144.6505852557071,1,0,34,11,23,0.3235294117647059,0.6764705882352942,31,3,0.9117647058823529,0.08823529411764706,11,20,0,3,0.9117647058823529,0.7857142857142857,1.0,0.8928571428571428,"[[20, 0], [3, 11]]"
MSFT,64,152.11000061035156,160.59600219726562,5.4788584267066,0,UP,UP,5.4788584267066,150.12944368241372,2,0,35,12,23,0.34285714285714286,0.6571428571428571,32,3,0.9142857142857143,0.08571428571428572,12,20,0,3,0.9142857142857143,0.8,1.0,0.9,"[[20, 0], [3, 12]]"
MSFT,65,155.25999450683594,162.57200317382814,4.609525264520256,0,UP,UP,4.609525264520256,154.73896894693397,3,0,36,13,23,0.3611111111111111,0.6388888888888888,33,3,0.9166666666666666,0.08333333333333333,13,20,0,3,0.9166666666666666,0.8125,1.0,0.90625,"[[20, 0], [3, 13]]"
MSFT,66,153.8300018310547,164.9080017089844,7.101455987822338,0,UP,UP,7.101455987822338,161.8404249347563,4,0,37,14,23,0.3783783783783784,0.6216216216216216,34,3,0.918918918918919,0.08108108108108109,14,20,0,3,0.918918918918919,0.8235294117647058,1.0,0.9117647058823529,"[[20, 0], [3, 14]]"
MSFT,67,165.27000427246094,166.59400024414063,0.7011108715753277,0,UP,UP,0.7011108715753277,162.54153580633164,5,0,38,15,23,0.39473684210526316,0.6052631578947368,35,3,0.9210526315789473,0.07894736842105263,15,20,0,3,0.9210526315789473,0.8333333333333334,1.0,0.9166666666666667,"[[20, 0], [3, 15]]"
MSFT,68,163.49000549316406,168.27200012207032,2.8249461546480945,0,UP,UP,2.8249461546480945,165.36648196097974,6,0,39,16,23,0.41025641025641024,0.5897435897435898,36,3,0.9230769230769231,0.07692307692307693,16,20,0,3,0.9230769230769231,0.8421052631578947,1.0,0.9210526315789473,"[[20, 0], [3, 16]]"
MSFT,69,165.1300048828125,170.65399780273438,3.245238755271692,0,UP,UP,3.245238755271692,168.61172071625143,7,0,40,17,23,0.425,0.575,37,3,0.925,0.075,17,20,0,3,0.925,0.85,1.0,0.925,"[[20, 0], [3, 17]]"
MSFT,70,165.13999938964844,173.34599914550782,4.869116983279923,0,UP,UP,4.869116983279923,173.48083769953135,8,0,41,18,23,0.43902439024390244,0.5609756097560976,38,3,0.926829268292683,0.07317073170731707,18,20,0,3,0.926829268292683,0.8571428571428571,1.0,0.9285714285714286,"[[20, 0], [3, 18]]"
MSFT,71,165.50999450683594,175.25599975585936,5.788469320576827,0,UP,UP,5.788469320576827,179.2693070201082,9,0,42,19,23,0.4523809523809524,0.5476190476190477,39,3,0.9285714285714286,0.07142857142857142,19,20,0,3,0.9285714285714286,0.8636363636363636,1.0,0.9318181818181819,"[[20, 0], [3, 19]]"
MSFT,72,173.6999969482422,174.0800018310547,0.1187708056930657,1,DW,UP,-0.1187708056930657,179.15053621441513,0,1,43,19,24,0.4418604651162791,0.5581395348837209,39,4,0.9069767441860465,0.09302325581395349,19,20,0,4,0.9069767441860465,0.8260869565217391,1.0,0.9130434782608696,"[[20, 0], [4, 19]]"
MSFT,73,171.8800048828125,174.4080017089844,1.3707916885943017,0,UP,UP,1.3707916885943017,180.52132790300942,1,0,44,20,24,0.45454545454545453,0.5454545454545454,40,4,0.9090909090909091,0.09090909090909091,20,20,0,4,0.9090909090909091,0.8333333333333334,1.0,0.9166666666666667,"[[20, 0], [4, 20]]"
MSFT,74,177.0399932861328,173.28400268554688,-2.2215492222231865,0,UP,DW,-2.2215492222231865,178.29977868078623,2,0,45,21,24,0.4666666666666667,0.5333333333333333,40,5,0.8888888888888888,0.1111111111111111,20,20,1,4,0.8888888888888888,0.8333333333333334,0.9523809523809523,0.8928571428571428,"[[20, 1], [4, 20]]"
MSFT,75,178.60000610351562,172.4740020751953,-3.530013336488759,1,DW,DW,3.530013336488759,181.829792017275,0,1,46,21,25,0.45652173913043476,0.5434782608695652,41,5,0.8913043478260869,0.10869565217391304,20,21,1,4,0.8913043478260869,0.8333333333333334,0.9545454545454546,0.893939393939394,"[[21, 1], [4, 20]]"
MSFT,76,175.05999755859375,172.27200317382812,-1.692593638550957,0,UP,DW,-1.692593638550957,180.13719837872404,1,0,47,22,25,0.46808510638297873,0.5319148936170213,41,6,0.8723404255319149,0.1276595744680851,20,21,2,4,0.8723404255319149,0.8333333333333334,0.9130434782608695,0.8731884057971014,"[[21, 2], [4, 20]]"
MSFT,77,167.82000732421875,172.6700012207031,2.7899974286822964,0,UP,UP,2.7899974286822964,182.92719580740632,2,0,48,23,25,0.4791666666666667,0.5208333333333334,42,6,0.875,0.125,21,21,2,4,0.875,0.84,0.9130434782608695,0.8765217391304347,"[[21, 2], [4, 21]]"
MSFT,78,173.52000427246094,173.45199890136718,-0.1391916605689908,0,UP,DW,-0.1391916605689908,182.78800414683732,3,0,49,24,25,0.4897959183673469,0.5102040816326531,42,7,0.8571428571428571,0.14285714285714285,21,21,3,4,0.8571428571428571,0.84,0.875,0.8574999999999999,"[[21, 3], [4, 21]]"
MSFT,79,171.4199981689453,175.01000061035157,1.9942728268309047,0,UP,UP,1.9942728268309047,184.78227697366822,4,0,50,25,25,0.5,0.5,43,7,0.86,0.14,22,21,3,4,0.86,0.8461538461538461,0.875,0.8605769230769231,"[[21, 3], [4, 22]]"
MSFT,80,174.5500030517578,175.01400146484374,0.1658254969771306,0,UP,UP,0.1658254969771306,184.94810247064535,5,0,51,26,25,0.5098039215686274,0.49019607843137253,44,7,0.8627450980392157,0.13725490196078433,23,21,3,4,0.8627450980392157,0.8518518518518519,0.875,0.8634259259259259,"[[21, 3], [4, 23]]"
