Company,Day,Current Price,Forward Return,Rate,Action,Action,True Action,Reward,Total Reward,Counter UP,Counter DOWN,ALL,UP,DOWN,UP R,DOWN R,CORRECT,WRONG,CORRECT R,WRONG R,TP,TN,FP,FN,ACC,SEN,SPE,BAC,CM
V,30,207.44000244140625,210.72999572753903,1.485997516106908,0,UP,UP,1.485997516106908,1.485997516106908,1,0,1,1,0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,1.0,1.0,0.0,0.5,"[[0, 0], [0, 1]]"
V,31,207.3999938964844,211.01199645996093,1.64156348590798,0,UP,UP,1.64156348590798,3.127561002014888,2,0,2,2,0,1.0,0.0,2,0,1.0,0.0,2,0,0,0,1.0,1.0,0.0,0.5,"[[0, 0], [0, 2]]"
V,32,210.2899932861328,208.71199645996091,-0.8503908300690062,1,DW,DW,0.8503908300690062,3.9779518320838942,0,1,3,2,1,0.6666666666666666,0.3333333333333333,3,0,1.0,0.0,2,1,0,0,1.0,1.0,1.0,1.0,"[[1, 0], [0, 2]]"
V,33,211.1999969482422,204.15199584960936,-3.43712178052732,1,DW,DW,3.43712178052732,7.415073612611215,0,2,4,2,2,0.5,0.5,4,0,1.0,0.0,2,2,0,0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 2]]"
V,34,213.30999755859372,198.93199768066407,-6.840424753875033,0,UP,DW,-6.840424753875033,0.5746488587361815,1,0,5,3,2,0.6,0.4,4,1,0.8,0.2,2,2,1,0,0.8,1.0,0.6666666666666666,0.8333333333333333,"[[2, 1], [0, 2]]"
V,35,211.4499969482422,192.6439971923828,-8.993828341110179,0,UP,DW,-8.993828341110179,-8.419179482373998,2,0,6,4,2,0.6666666666666666,0.3333333333333333,4,2,0.6666666666666666,0.3333333333333333,2,2,2,0,0.6666666666666666,1.0,0.5,0.75,"[[2, 2], [0, 2]]"
V,36,208.80999755859372,187.23399658203124,-10.432839054082224,0,UP,DW,-10.432839054082224,-18.85201853645622,3,0,7,5,2,0.7142857142857143,0.2857142857142857,4,3,0.5714285714285714,0.42857142857142855,2,2,3,0,0.5714285714285714,1.0,0.4,0.7,"[[2, 3], [0, 2]]"
V,37,198.7899932861328,185.94199829101564,-6.563099466291609,1,DW,DW,6.563099466291609,-12.288919070164612,0,1,8,5,3,0.625,0.375,5,3,0.625,0.375,2,3,3,0,0.625,1.0,0.5,0.75,"[[3, 3], [0, 2]]"
V,38,188.3999938964844,185.40799865722656,-1.6881079279130753,0,UP,DW,-1.6881079279130753,-13.977026998077687,1,0,9,6,3,0.6666666666666666,0.3333333333333333,5,4,0.5555555555555556,0.4444444444444444,2,3,4,0,0.5555555555555556,1.0,0.42857142857142855,0.7142857142857143,"[[3, 4], [0, 2]]"
V,39,187.2100067138672,186.8239959716797,-0.30619129765722153,0,UP,DW,-0.30619129765722153,-14.283218295734908,2,0,10,7,3,0.7,0.3,5,5,0.5,0.5,2,3,5,0,0.5,1.0,0.375,0.6875,"[[3, 5], [0, 2]]"
V,40,180.00999450683594,188.21399841308596,4.457526891062955,0,UP,UP,4.457526891062955,-9.825691404671954,3,0,11,8,3,0.7272727272727273,0.2727272727272727,6,5,0.5454545454545454,0.45454545454545453,3,3,5,0,0.5454545454545454,1.0,0.375,0.6875,"[[3, 5], [0, 3]]"
V,41,181.75999450683597,188.73399963378907,3.7369307535882657,0,UP,UP,3.7369307535882657,-6.088760651083688,4,0,12,9,3,0.75,0.25,7,5,0.5833333333333334,0.4166666666666667,4,3,5,0,0.5833333333333334,1.0,0.375,0.6875,"[[3, 5], [0, 4]]"
V,42,192.3300018310547,184.49400024414064,-4.174248173614276,1,DW,DW,4.174248173614276,-1.9145124774694118,0,1,13,9,4,0.6923076923076923,0.3076923076923077,8,5,0.6153846153846154,0.38461538461538464,4,4,5,0,0.6153846153846154,1.0,0.4444444444444444,0.7222222222222222,"[[4, 5], [0, 4]]"
