High,Low,Open,Close,Volume,Adj Close,Forward Return,Up/Dw,Rate
108.44999694824219,107.19999694824219,107.54000091552734,108.16999816894531,4080500,108.16999816894531,110.23399963378907,UP,1.9081089948990246
111.20999908447266,109.2750015258789,109.47000122070312,110.75,7418800,110.75,110.5979995727539,DW,-0.1372464354366535
110.41999816894531,108.76000213623047,109.48999786376953,108.76000213623047,7098300,108.76000213623047,111.43199920654297,UP,2.4567828409617105
110.22000122070312,107.44000244140625,107.56999969482422,110.16999816894531,6764500,110.16999816894531,112.45399932861328,UP,2.0731607494133364
111.55999755859375,109.52999877929688,111.5,109.66999816894531,6898700,109.66999816894531,113.4479995727539,UP,3.4448814323755363
112.63999938964844,109.81999969482422,110.4000015258789,111.81999969482422,8293600,111.81999969482422,114.05399932861329,UP,1.9978533713879743
113.55999755859375,111.58999633789062,112.98999786376953,112.56999969482422,5944700,112.56999969482422,114.61999969482422,UP,1.8210891050524296
113.70999908447266,112.2699966430664,113.63999938964844,112.93000030517578,6965100,112.93000030517578,115.24199981689453,UP,2.047285491429145
115.87999725341797,113.86000061035156,113.9800033569336,115.27999877929688,9652500,115.27999877929688,115.41600036621094,UP,0.11797500724686598
115.58999633789062,114.12000274658203,115.51499938964844,114.63999938964844,7182000,114.63999938964844,115.58800048828125,UP,0.8269374595952904
115.94999694824219,114.61000061035156,115.13999938964844,114.8499984741211,5955200,114.8499984741211,116.19600067138671,UP,1.1719653592933317
116.0,114.8499984741211,115.91999816894531,115.4000015258789,4770900,115.4000015258789,116.51200103759766,UP,0.9636044168243617
116.69999694824219,115.47000122070312,116.44999694824219,116.04000091552734,9730400,116.04000091552734,116.3520004272461,UP,0.26887237957355453
116.38999938964844,115.11000061035156,115.30999755859375,116.1500015258789,8746200,116.1500015258789,116.42599945068359,UP,0.23762197260341034
117.44999694824219,115.47000122070312,116.7300033569336,115.5,5305300,115.5,116.65800018310547,UP,1.0025975611302784
117.94000244140625,115.80000305175781,117.4000015258789,117.88999938964844,8533900,117.88999938964844,116.50400085449219,DW,-1.1756710003664208
119.5999984741211,116.51000213623047,118.44999694824219,116.9800033569336,7124000,116.9800033569336,115.88600006103516,DW,-0.9352053893863976
115.9800033569336,112.30999755859375,113.62999725341797,115.23999786376953,7002300,115.23999786376953,116.14000091552734,UP,0.7809814894492983
117.20999908447266,114.71499633789062,115.83000183105469,116.5199966430664,6433000,116.5199966430664,116.852001953125,UP,0.2849341912320997
117.52999877929688,115.16000366210938,117.47000122070312,116.66000366210938,9236800,116.66000366210938,117.46400146484375,UP,0.6891803338726509
117.19999694824219,112.41999816894531,112.79000091552734,117.12000274658203,13653300,117.12000274658203,118.01800079345703,UP,0.7667332870697099
117.31999969482422,113.1500015258789,116.75,113.88999938964844,9467200,113.88999938964844,119.01600036621093,UP,4.500835019785241
117.23999786376953,114.05000305175781,114.30000305175781,116.51000213623047,8234700,116.51000213623047,119.72599945068359,UP,2.7602757321150704
120.33999633789062,117.30000305175781,118.04000091552734,120.08000183105469,7396800,120.08000183105469,119.47799835205078,DW,-0.5013353346304029
122.19000244140625,118.89099884033203,121.19999694824219,119.72000122070312,7595300,119.72000122070312,119.24599761962891,DW,-0.39592682612857066
120.5999984741211,119.47000122070312,120.08999633789062,119.88999938964844,4020300,119.88999938964844,119.36999816894532,DW,-0.4337319404040469
119.66999816894531,118.41000366210938,119.5999984741211,118.87999725341797,4166300,118.87999725341797,120.19199829101562,UP,1.1036348148636348
120.1500015258789,118.5,118.55999755859375,120.05999755859375,4868000,120.05999755859375,120.63399810791016,UP,0.4780947534471467
121.0,118.4000015258789,120.76000213623047,118.83999633789062,4677400,118.83999633789062,121.6479995727539,UP,2.362843589189831
119.91000366210938,117.87000274658203,118.8499984741211,118.55999755859375,6482300,118.55999755859375,122.42200012207032,UP,3.2574246314132376
121.0999984741211,117.80000305175781,118.04000091552734,120.51000213623047,6066300,120.51000213623047,122.21799926757812,UP,1.4173073612735057
123.0,120.80000305175781,120.88999938964844,122.98999786376953,5769900,122.98999786376953,120.90800018310547,DW,-1.6928186981271391
122.98999786376953,121.68000030517578,122.58000183105469,122.2699966430664,5085700,122.2699966430664,118.38600158691406,DW,-3.1765724730414426
124.44999694824219,122.30000305175781,122.62999725341797,123.91000366210938,4878600,123.91000366210938,115.4260009765625,DW,-6.846906976681177
124.30999755859375,120.4000015258789,123.86000061035156,122.43000030517578,7212900,122.43000030517578,112.50800018310547,DW,-8.104222900709132
121.8499984741211,118.52999877929688,121.72000122070312,119.48999786376953,5894500,119.48999786376953,110.20800018310547,DW,-7.768012257600391
116.79000091552734,113.5199966430664,114.29000091552734,116.44000244140625,10139300,116.44000244140625,109.49199981689453,DW,-5.967023770896964
116.41500091552734,109.33000183105469,115.66999816894531,109.66000366210938,13636100,109.66000366210938,109.51199951171876,DW,-0.13496639198249355
112.62999725341797,108.5999984741211,109.80999755859375,109.11000061035156,10301800,109.11000061035156,110.75,UP,1.5030697282324514
112.05000305175781,106.30000305175781,106.30000305175781,107.83999633789062,15461900,107.83999633789062,111.61800079345703,UP,3.5033425295462153
108.7300033569336,103.72000122070312,104.26000213623047,107.98999786376953,17213100,107.98999786376953,112.19800109863282,UP,3.89666017048331
113.05000305175781,106.52999877929688,107.45999908447266,112.86000061035156,13367000,112.86000061035156,109.95200042724609,DW,-2.576643777581859
114.55999755859375,108.26000213623047,112.81999969482422,109.76000213623047,11912300,109.76000213623047,109.9479995727539,UP,0.17128045997128866
