High,Low,Open,Close,Volume,Adj Close,Forward Return,Up/Dw,Rate
157.77000427246094,156.4499969482422,156.77000427246094,157.6999969482422,18369400.0,153.7452392578125,159.18799743652343,UP,0.9435640564848028
160.72999572753906,158.3300018310547,158.77999877929688,160.6199951171875,22622100.0,156.5919952392578,159.48199768066405,DW,-0.7085029704385011
159.9499969482422,158.05999755859375,158.32000732421875,158.6199951171875,21116200.0,154.6421356201172,160.0259979248047,UP,0.8863969555530828
159.10000610351562,156.50999450683594,157.0800018310547,159.02999877929688,20813700.0,155.04188537597656,160.8759979248047,UP,1.1607867444366335
159.6699981689453,157.32000732421875,159.32000732421875,157.5800018310547,21634100.0,153.6282501220703,161.78599853515624,UP,2.6691183241709195
160.8000030517578,157.9499969482422,158.92999267578125,160.08999633789062,27746500.0,156.07528686523438,162.40399780273438,UP,1.4454378897977838
162.22000122070312,161.02999877929688,161.83999633789062,162.08999633789062,21385000.0,158.02511596679688,163.21999816894532,UP,0.6971447076222472
163.22000122070312,161.17999267578125,162.82000732421875,161.33999633789062,20725900.0,157.2939453125,164.37200012207032,UP,1.8792635756789269
163.30999755859375,161.25999450683594,161.75999450683594,163.27999877929688,21626500.0,159.185302734375,165.01600036621093,UP,1.063205291458009
163.60000610351562,161.72000122070312,163.38999938964844,162.1300048828125,23477400.0,158.0641632080078,165.72999877929686,UP,2.2204365558900943
163.94000244140625,162.57000732421875,162.6199951171875,163.17999267578125,21417900.0,159.0877685546875,166.43800048828126,UP,1.9965730841606764
166.24000549316406,164.02999877929688,164.35000610351562,166.1699981689453,23865400.0,162.00283813476562,166.21199951171874,UP,0.0252761288055916
167.47000122070312,165.42999267578125,167.4199981689453,167.10000610351562,34371700.0,162.90953063964844,165.247998046875,DW,-1.108323153198047
168.19000244140625,166.42999267578125,166.67999267578125,166.5,29517200.0,162.32455444335938,165.03999938964844,DW,-0.8768772434543884
167.49000549316406,165.67999267578125,167.39999389648438,165.6999969482422,24138800.0,161.54461669921875,165.50799865722655,DW,-0.11587102869748916
166.8000030517578,165.27000427246094,166.19000244140625,166.72000122070312,19680800.0,162.53903198242188,166.71999816894532,DW,-1.8304689172185249e-06
167.52999877929688,164.4499969482422,167.50999450683594,165.0399932861328,24918100.0,160.9011688232422,167.75799865722655,UP,1.646876806630429
163.3800048828125,160.1999969482422,161.14999389648438,162.27999877929688,32078100.0,158.21035766601562,170.1779998779297,UP,4.86689743532363
165.75999450683594,163.07000732421875,163.77999877929688,165.4600067138672,24899900.0,161.3106231689453,173.10999755859376,UP,4.623468230577213
168.75,165.69000244140625,167.83999633789062,168.0399932861328,34754500.0,163.82589721679688,175.48199768066405,UP,4.428710242721354
174.0500030517578,170.7899932861328,174.0500030517578,172.77999877929688,51597500.0,168.44705200195312,177.6519989013672,UP,2.81977089737895
172.39999389648438,169.5800018310547,172.2100067138672,170.22999572753906,36142700.0,165.9609832763672,180.38399963378907,UP,5.964873501202432
174.5,170.39999389648438,170.42999267578125,174.3800048828125,30107000.0,170.00692749023438,183.247998046875,UP,5.085441516085525
180.63999938964844,176.30999755859375,177.13999938964844,180.1199951171875,36433300.0,175.60296630859375,184.11199951171875,UP,2.2163027441423258
184.1999969482422,178.41000366210938,184.02999877929688,179.89999389648438,39186300.0,175.38851928710938,185.07400207519532,UP,2.876046889522468
183.82000732421875,180.05999755859375,180.97000122070312,183.6300048828125,27751400.0,179.02496337890625,185.09000244140626,UP,0.7950757064595653
185.6300048828125,182.47999572753906,182.85000610351562,183.88999938964844,33529100.0,179.27845764160156,185.3820037841797,UP,0.8113570066253631
188.83999633789062,183.25,183.5800018310547,188.6999969482422,35844300.0,183.96783447265625,185.08800354003907,DW,-1.9141459812497184
190.6999969482422,183.5,190.64999389648438,184.44000244140625,53159900.0,179.81463623046875,185.6560028076172,UP,0.6592931848378464
185.85000610351562,181.85000610351562,185.5800018310547,184.7100067138672,47062900.0,180.07791137695312,185.5980010986328,UP,0.48075055627127145
186.22999572753906,182.8699951171875,183.0800018310547,183.7100067138672,35295800.0,179.1029510498047,184.5739990234375,UP,0.47030225790367314
185.41000366210938,182.64999389648438,183.25,185.35000610351562,23149500.0,180.7018585205078,181.68199768066407,DW,-1.9789632058620061
187.6999969482422,185.5,185.61000061035156,187.22999572753906,27792200.0,182.53466796875,177.85,DW,-5.009878727545895
188.17999267578125,186.47000122070312,188.05999755859375,187.27999877929688,29997500.0,183.0821075439453,174.4279998779297,DW,-6.862451401717931
187.25,181.10000610351562,186.9499969482422,184.4199981689453,36862400.0,180.28623962402344,169.17999877929688,DW,-8.26374554872689
183.5,177.25,183.1699981689453,178.58999633789062,48572600.0,174.58692932128906,165.86399841308594,DW,-7.125817898964071
174.5500030517578,163.22999572753906,167.77000427246094,170.88999938964844,68311100.0,167.05950927734375,166.2439971923828,DW,-2.718709236268544
174.83999633789062,167.64999389648438,174.1999969482422,168.07000732421875,68073300.0,164.302734375,165.53199462890626,DW,-1.5100925713750255
173.25999450683594,168.2100067138672,169.7100067138672,170.1699981689453,56206100.0,166.3556365966797,165.60799560546874,DW,-2.680850098468825
167.02999877929688,157.97999572753906,163.32000732421875,158.17999267578125,93174900.0,154.63441467285156,167.2259979248047,UP,5.718804948717424
163.7100067138672,152.0,152.41000366210938,162.00999450683594,97012700.0,158.3785400390625,167.13800048828125,UP,3.1652405131270704
172.9199981689453,162.30999755859375,165.30999755859375,172.7899932861328,71030800.0,168.91690063476562,162.7040008544922,DW,-5.837139199918047
