High,Low,Open,Close,Volume,Adj Close,Forward Return,Up/Dw,Rate
139.47999572753906,138.2899932861328,138.50999450683594,139.39999389648438,7201600.0,128.3429718017578,138.09599914550782,DW,-0.9354338651871655
141.10000610351562,139.25999450683594,139.7899932861328,141.08999633789062,10803700.0,129.89891052246094,137.36600036621093,DW,-2.6394472098229094
139.22999572753906,137.0800018310547,137.5,138.33999633789062,10386800.0,128.18472290039062,136.91200256347656,DW,-1.0322349372673376
138.27000427246094,136.5,136.55999755859375,138.22999572753906,10259000.0,128.08282470703125,136.70600280761718,DW,-1.102505221027263
137.86000061035156,135.82000732421875,137.27999877929688,135.8800048828125,10531300.0,125.90533447265625,137.29000244140624,UP,1.0376784721267664
137.5800018310547,135.60000610351562,135.6999969482422,136.94000244140625,9695300.0,126.88754272460938,137.24600219726562,UP,0.2234553457017104
138.22999572753906,137.0399932861328,138.0500030517578,137.44000244140625,9469000.0,127.35082244873047,137.20800170898437,DW,-0.16880146121998782
137.25,135.80999755859375,137.2100067138672,136.07000732421875,10190900.0,126.08136749267578,137.63399963378907,UP,1.1494026790516332
137.1999969482422,135.75999450683594,136.19000244140625,137.1999969482422,12355200.0,127.1284408569336,137.56199951171874,UP,0.2638502707934566
140.75999450683594,137.69000244140625,137.94000244140625,138.8000030517578,24906000.0,128.61094665527344,137.13799743652345,DW,-1.1974103592884002
138.60000610351562,136.14999389648438,137.85000610351562,136.72000122070312,16293400.0,126.68366241455078,137.10199584960938,UP,0.27939922871241996
137.89999389648438,136.83999633789062,137.4499969482422,137.25,10783800.0,127.1747817993164,136.28199462890626,DW,-0.7052862448770408
138.2899932861328,137.32000732421875,137.5399932861328,138.1999969482422,14697700.0,128.05502319335938,135.0479949951172,DW,-2.2807539961852985
138.07000732421875,136.69000244140625,137.19000244140625,136.83999633789062,8474200.0,126.79486846923828,134.5659942626953,DW,-1.661796357828203
137.39999389648438,136.3800048828125,137.24000549316406,136.67999267578125,7549100.0,126.64657592773438,134.07599487304688,DW,-1.9051784769343054
136.74000549316406,134.72000122070312,135.7100067138672,136.5399932861328,9345700.0,126.5168685913086,133.94599609375,DW,-1.89980761676678
136.42999267578125,132.32000732421875,136.3699951171875,133.14999389648438,15166400.0,123.375732421875,133.78799743652343,UP,0.4791615240591436
132.94000244140625,129.7100067138672,130.27000427246094,132.02999877929688,12860500.0,122.33795166015625,134.05599670410157,UP,1.5344981773357314
134.97000122070312,132.47999572753906,132.83999633789062,134.42999267578125,13062800.0,124.56175994873047,134.22799682617188,DW,-0.15026099874642507
135.5399932861328,133.69000244140625,134.80999755859375,134.22999572753906,9326000.0,124.3764419555664,134.89999694824218,UP,0.4991441868649736
136.1300048828125,132.69000244140625,132.69000244140625,135.88999938964844,9048900.0,125.91459655761719,135.2439971923828,DW,-0.4753861212503917
134.8300018310547,131.47000122070312,134.49000549316406,132.36000061035156,12785200.0,122.64373016357422,136.20599670410155,UP,2.9057087307456557
134.24000549316406,132.66000366210938,132.66000366210938,133.3699951171875,10021100.0,123.57958984375,137.0799987792969,UP,2.781737870537925
136.60000610351562,135.0800018310547,135.5500030517578,135.2899932861328,9157100.0,125.3586196899414,137.62200012207032,UP,1.7237097728325008
137.72999572753906,136.00999450683594,136.57000732421875,137.58999633789062,10150700.0,127.48980712890625,137.7040008544922,UP,0.08285814349583838
138.2899932861328,137.11000061035156,138.24000549316406,137.61000061035156,8992300.0,127.50833892822266,137.75800170898438,UP,0.10755112126762462
137.6699981689453,136.3000030517578,136.72999572753906,137.1699981689453,6379800.0,127.10063171386719,137.81600341796874,UP,0.4709522910598715
137.85000610351562,136.75,136.9499969482422,137.74000549316406,5960700.0,127.6287841796875,137.39600219726563,DW,-0.2497482809491426
138.82000732421875,137.77999877929688,138.25999450683594,138.0,6578600.0,127.86971282958984,137.29400329589845,DW,-0.5115918145663414
139.2899932861328,137.8000030517578,138.60000610351562,138.0,7958000.0,127.86971282958984,137.19200439453124,DW,-0.585504061933885
138.33999633789062,136.39999389648438,137.75,137.8800048828125,7447500.0,127.75850677490234,136.7780029296875,DW,-0.7992471091523597
138.19000244140625,136.94000244140625,137.83999633789062,137.4600067138672,6627600.0,127.36935424804688,135.71800231933594,DW,-1.2672808885840932
137.7100067138672,135.0500030517578,137.33999633789062,135.63999938964844,8996400.0,125.68294525146484,133.84200286865234,DW,-1.3255651202349612
138.38999938964844,136.33999633789062,136.91000366210938,137.49000549316406,7071200.0,127.39714050292969,131.67200164794923,DW,-4.231583106238293
138.36000061035156,136.52999877929688,137.1699981689453,137.49000549316406,7422800.0,127.39714050292969,128.4480010986328,DW,-6.576481222833921
136.9199981689453,134.9199981689453,136.5500030517578,135.80999755859375,9772800.0,125.8404541015625,124.50800170898438,DW,-8.321917423445388
133.1999969482422,130.8000030517578,131.44000244140625,132.16000366210938,13618400.0,122.45840454101562,122.38000030517578,DW,-7.400123400373017
132.22999572753906,125.58999633789062,131.0,126.26000213623047,20797200.0,116.99152374267578,120.51999969482422,DW,-4.5461764171467145
128.9499969482422,126.33999633789062,126.93000030517578,126.63999938964844,24825600.0,117.3436050415039,119.16199951171875,DW,-5.904927285194652
125.62000274658203,121.30000305175781,122.91000366210938,121.37000274658203,23005500.0,112.46047973632812,117.68199920654297,DW,-3.038645016544603
118.48999786376953,112.66000366210938,117.5199966430664,116.11000061035156,45931400.0,107.58660125732422,116.0759994506836,DW,-0.02928357547948768
121.58000183105469,114.45999908447266,116.62999725341797,121.5199966430664,27355400.0,112.5994644165039,110.46000061035156,DW,-9.10137947518278
