High,Low,Open,Close,Volume,Adj Close,Forward Return,Up/Dw,Rate
188.0,186.5399932861328,187.05999755859375,187.89999389648438,5273000.0,184.62860107421875,190.1040008544922,UP,1.172968083874462
191.13999938964844,188.72000122070312,189.0,191.1199951171875,8733000.0,187.79254150390625,190.53000183105468,DW,-0.30870306676758885
190.9600067138672,187.9199981689453,188.41000366210938,189.60000610351562,4899700.0,186.29901123046875,191.36400146484374,UP,0.9303772703282656
189.2100067138672,187.16000366210938,188.0,189.19000244140625,10109500.0,185.8961181640625,192.59200134277344,UP,1.7981916895533745
190.10000610351562,188.60000610351562,189.58999633789062,188.69000244140625,4392300.0,185.40484619140625,194.06400146484376,UP,2.8480571063145166
192.5,188.8000030517578,189.49000549316406,191.9199981689453,5712000.0,188.57859802246094,195.64000244140624,UP,1.938309872838912
193.9199981689453,192.52000427246094,193.0,193.25,6748000.0,189.8854522705078,197.18000183105468,UP,2.0336361350865104
194.57000732421875,193.11000061035156,193.5,193.77000427246094,6586400.0,190.39639282226562,199.36600036621093,UP,2.8879578729231135
195.60000610351562,194.27999877929688,194.44000244140625,195.3300018310547,11290500.0,191.92926025390625,201.75799865722655,UP,3.2908394849305243
196.9499969482422,195.13999938964844,196.74000549316406,196.0500030517578,6236500.0,192.6366729736328,204.12799682617188,UP,4.120374215083002
200.14999389648438,196.32000732421875,197.0,199.8000030517578,10831100.0,196.3214111328125,205.4719970703125,UP,2.8388358017619146
201.5,199.77999877929688,201.0,200.9499969482422,9983700.0,197.45138549804688,206.28199768066406,UP,2.65339677203141
204.75,199.97999572753906,201.75999450683594,204.6999969482422,12518900.0,201.13609313964844,205.67999877929688,UP,0.4787502909941342
208.38999938964844,203.8000030517578,204.1300048828125,207.2899932861328,14861700.0,203.68099975585938,204.79200134277343,DW,-1.2050711680574355
210.1300048828125,207.2899932861328,207.50999450683594,207.89999389648438,8065000.0,204.28036499023438,204.1840026855469,DW,-1.7873936123286853
208.39999389648438,205.3000030517578,207.89999389648438,206.52000427246094,8520800.0,202.9243927001953,204.52200317382812,DW,-0.9674612905764124
207.99000549316406,204.2100067138672,207.4199981689453,205.0,7812900.0,201.4308319091797,203.31600341796874,DW,-0.8214617473323199
203.3300018310547,199.10000610351562,200.0,201.69000244140625,7198900.0,198.1785125732422,203.14000244140624,UP,0.7189250743458312
203.83999633789062,201.77999877929688,202.38999938964844,202.85000610351562,7215700.0,199.31829833984375,203.28200073242186,UP,0.21296259103181348
205.9199981689453,202.50999450683594,204.3000030517578,204.86000061035156,7041700.0,201.2933349609375,202.87200012207032,DW,-0.9704190580680838
208.5,203.32000732421875,204.0,208.2100067138672,8571900.0,204.58499145507812,201.83799743652344,DW,-3.0603760971491107
203.97999572753906,198.25999450683594,201.49000549316406,198.97000122070312,16699600.0,195.50584411621094,202.5919982910156,UP,1.8203734472991573
202.25999450683594,199.85000610351562,199.94000244140625,200.80999755859375,10885900.0,197.3138427734375,203.62799987792968,UP,1.4033177399515058
204.9199981689453,202.22999572753906,203.5,203.55999755859375,10205900.0,200.01593017578125,203.7040008544922,UP,0.0707424334965383
205.60000610351562,199.9499969482422,205.5,202.80999755859375,8672400.0,199.2790069580078,204.6300018310547,UP,0.897393764789693
204.6300048828125,202.47999572753906,203.0500030517578,203.0399932861328,7001200.0,199.50498962402344,205.502001953125,UP,1.2125732606396444
203.8300018310547,201.08999633789062,201.97999572753906,202.74000549316406,5691100.0,199.2102508544922,207.01199951171876,UP,2.1071292802637
206.1300048828125,201.86000061035156,201.97000122070312,205.99000549316406,6239500.0,202.40362548828125,208.0539978027344,UP,1.0019866277632674
207.6699981689453,203.63999938964844,207.5,203.94000244140625,10231900.0,200.3893280029297,209.92799682617186,UP,2.936154904914261
208.14999389648438,205.0,205.0,207.44000244140625,7355800.0,203.8284149169922,210.72999572753906,UP,1.585997516106908
208.47000122070312,206.0500030517578,206.6199951171875,207.39999389648438,9495300.0,204.08421325683594,211.01199645996093,UP,1.74156348590798
210.77999877929688,208.00999450683594,208.2899932861328,210.2899932861328,6548800.0,206.9280242919922,208.71199645996094,DW,-0.7503908300690062
211.5,209.36000061035156,210.0,211.1999969482422,7651500.0,207.82347106933594,204.15199584960936,DW,-3.33712178052732
214.1699981689453,211.72000122070312,212.52000427246094,213.30999755859375,5927500.0,209.8997344970703,198.93199768066407,DW,-6.7404247538750335
213.69000244140625,208.27999877929688,212.1300048828125,211.4499969482422,8531900.0,208.06947326660156,192.6439971923828,DW,-8.89382834111018
210.22000122070312,207.4199981689453,209.89999389648438,208.80999755859375,9231500.0,205.4716796875,187.23399658203124,DW,-10.332839054082223
203.77000427246094,194.00999450683594,197.88999938964844,198.7899932861328,13316800.0,195.6118621826172,185.94199829101564,DW,-6.4630994662916095
199.88999938964844,187.72000122070312,198.7899932861328,188.39999389648438,18539000.0,185.3879852294922,185.40799865722656,DW,-1.5881079279130752
193.50999450683594,187.02999877929688,190.0,187.2100067138672,14214700.0,184.21702575683594,186.8239959716797,DW,-0.20619129765722155
186.33999633789062,180.0,182.1199951171875,180.00999450683594,17536600.0,177.13209533691406,188.21399841308593,UP,4.557526891062954
182.3300018310547,172.97999572753906,173.7899932861328,181.75999450683594,22659000.0,178.8541259765625,188.73399963378907,UP,3.8369307535882657
192.44000244140625,183.10000610351562,186.32000732421875,192.3300018310547,17434500.0,189.25515747070312,184.49400024414064,DW,-4.074248173614277
194.0399932861328,184.5,193.1999969482422,185.72999572753906,15226400.0,182.7606658935547,183.86800231933594,DW,-1.00252702903984
