Epoch,BAC
28,0.7626591185363987
26,0.7619242864789395
25,0.7602756564792821
31,0.7589507782124818
32,0.7564712641161697
29,0.7561674111475563
30,0.7542516748113698
24,0.7524643141795405
27,0.7524289411057773
22,0.7469736552890525
23,0.7469074391744193
21,0.7461749224712397
20,0.7433252062265988
19,0.7321393062382682
17,0.7297259178640249
18,0.7220883727420427
16,0.719599512252509
15,0.7144269999225913
13,0.7008427468113259
14,0.69876067001473
12,0.6920722125304849
11,0.6863768023218778
10,0.6820606872447804
9,0.6768203868622381
8,0.6692280585919195
7,0.6614330954741131
6,0.6447227455227672
5,0.6287982528644948
4,0.6181617249526947
3,0.6135011754374304
2,0.5712997937044045
1,0.5086139191412834
