Epoch,BAC,Total Reward
28,0.7626591185363987,512.9984961588215
26,0.7619242864789395,510.0380250370269
25,0.7602756564792821,515.5464707995237
31,0.7589507782124818,505.52681665356084
32,0.7564712641161697,456.341964613262
29,0.7561674111475563,506.6477425491083
30,0.7542516748113698,509.4957934061752
24,0.7524643141795405,505.4935591209312
27,0.7524289411057773,504.6108924628699
22,0.7469736552890525,493.74951426458983
23,0.7469074391744193,492.38758705055244
21,0.7461749224712397,489.89070129349926
20,0.7433252062265988,490.428218749016
19,0.7321393062382682,469.360688361045
17,0.7297259178640249,467.9695570404113
18,0.7220883727420427,465.747086966392
16,0.719599512252509,458.4358848694799
15,0.7144269999225913,446.21138867318854
13,0.7008427468113259,423.1714064176643
14,0.69876067001473,432.8295178955113
12,0.6920722125304849,430.67496963956165
11,0.6863768023218778,416.8442837746806
10,0.6820606872447804,396.4630809950366
9,0.6768203868622381,395.09003292982817
8,0.6692280585919195,369.8831808406431
7,0.6614330954741131,358.28971906501414
6,0.6447227455227672,331.8841461441775
5,0.6287982528644948,297.4433522511403
4,0.6181617249526947,292.11984645590474
3,0.6135011754374304,275.408603315296
2,0.5712997937044045,190.63157193282
1,0.5086139191412834,58.04194947631158
